Universitas,Jenis_Program_Studi,Kualitas_Dosen,Kepuasan_Infrastruktur,Keluhan_Fisik,Kendala_Online,Performa_Akademik,Keluhan_Psikis,Kepuasan_Online
Universitas Putera Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Putera Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Putera Batam,Computing & Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Putera Batam,Non Computing & Non Engineering,3,2,Sering Mengantuk,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Putera Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Putera Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Moody-an,3
Universitas Putera Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Moody-an,3
Universitas Putera Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Putera Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Putera Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Moody-an,3
Universitas Putera Batam,Computing & Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,2,2,Sakit Kepala,Tidak Ada Kendala / Tidak Ada Diatas,2,Bosan,2
Universitas Putera Batam,Computing & Engineering,3,3,Kelelahan Mata,Kendala Internet,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Bosan,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Sakit Kepala,Tidak Ada Kendala / Tidak Ada Diatas,2,Moody-an,3
Universitas Internasional Batam,Computing & Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Computing & Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Kendala Internet,3,Bosan,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Kelelahan Mata,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Putera Batam,Computing & Engineering,3,3,Kelelahan Mata,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Kelelahan Mata,Tidak Ada Kendala / Tidak Ada Diatas,4,Moody-an,5
Universitas Internasional Batam,Computing & Engineering,3,4,Sulit Istirahat,Kendala Internet,4,Bosan,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Moody-an,3
Universitas Internasional Batam,Non Computing & Non Engineering,4,3,Kelelahan Mata,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,3,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
